,,,,,,,
,Quiz template,,,,,,
,"Add questions, at least two answer alternatives, time limit and choose correct answers (at least one). Have fun creating your awesome quiz!        ",,,,,,
,"Remember: questions have a limit of 95 characters and answers can have 60 characters max. Text will turn red in Excel or Google Docs if you exceed this limit. If several answers are correct, separate them with a comma.  ",,,,,,
,See an example question below (don't forget to overwrite this with your first question!) ,,,,,,
,"And remember,  if you're not using Excel you need to export to .xlsx format before you upload to Kahoot!",,,,,,
,,,,,,,
,Question - max 95 characters,Answer 1 - max 60 characters,Answer 2 - max 60 characters,Answer 3 - max 60 characters,Answer 4 - max 60 characters,"Time limit (sec) - 5,10,20,30,60,90 or 120 secs",Correct answer(s) - choose at least one
1,What is the meaning of "poverty"?,乱用,向上,貧困,状況,20,3
2,What is the meaning of "achieve"?,達成する,強調する,解決する,魅了する,20,1
3,What is the meaning of "organization"?,参加,組織,保証,消費者,20,2
4,What is the meaning of "donate"?,固定する,寄付する,囲む,命令する,20,2
5,What is the meaning of "prefer"?,持ち上げる,浮かぶ,転がる,好む,20,4
6,What is the meaning of "cause"?,影響する,引き起こす,反応する,扱う,20,2
7,What is the meaning of "confuse"?,混乱させる,がっかりさせる,いらいらさせる,分からせる,20,1
8,What is the meaning of "whole"?,余分の,いくつかの,全体の,からの,20,3
9,What is the meaning of "unfinished"?,文化の,未完成の,無実の,特有の,20,2
10,What is the meaning of "offer"?,望む,計画する,断る,提供する,20,4
11,What is the meaning of "thin"?,厚い,鈍い,きつい,薄い,20,4
12,What is the meaning of "revenge"?,仕返し,いたずら,不足,方法,20,1

